REGULATING_AGENCY,WATER_SYSTEM_NUMBER,WATER_SYSTEM_NAME,CLASSIFICATION,POPULATION,SERVICE_CONNECTIONS,COUNTY,CITY,ZIPCODE,VIOLATION_NUMBER,VIOLATION_TYPE_NAME,ANALYTE_NAME,RESULT,MCL,VIOL_BEGIN_DATE,VIOL_END_DATE,ENF_ACTION_NUMBER,ENF_ACTION_ISSUE_DATE,ENF_ACTION_TYPE_ISSUED
DISTRICT 23 - FRESNO,CA1000019,FCSA #30/EL PORVENIR,COMMUNITY,185,56,FRESNO,THREE ROCKS,93608,9800015,"MCL, LRAA",TOTAL HALOACETIC ACIDS (HAA5),0.080 MG/L,0.060 MG/L,4/1/15,6/30/15,9800163,11/7/14,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 23 - FRESNO,CA1000019,FCSA #30/EL PORVENIR,COMMUNITY,185,56,FRESNO,THREE ROCKS,93608,9800016,"MCL, LRAA",TTHM,0.220 MG/L,0.080 MG/L,4/1/15,6/30/15,9800171,12/5/19,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 23 - FRESNO,CA1000019,FCSA #30/EL PORVENIR,COMMUNITY,185,56,FRESNO,THREE ROCKS,93608,9800016,"MCL, LRAA",TTHM,0.220 MG/L,0.080 MG/L,4/1/15,6/30/15,9800163,11/7/14,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 23 - FRESNO,CA1000019,FCSA #30/EL PORVENIR,COMMUNITY,185,56,FRESNO,THREE ROCKS,93608,9800017,"MCL, LRAA",TOTAL HALOACETIC ACIDS (HAA5),0.100 MG/L,0.060 MG/L,7/1/15,9/30/15,9800163,11/7/14,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 23 - FRESNO,CA1000019,FCSA #30/EL PORVENIR,COMMUNITY,185,56,FRESNO,THREE ROCKS,93608,9800017,"MCL, LRAA",TOTAL HALOACETIC ACIDS (HAA5),0.100 MG/L,0.060 MG/L,7/1/15,9/30/15,9800171,12/5/19,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 23 - FRESNO,CA1000019,FCSA #30/EL PORVENIR,COMMUNITY,185,56,FRESNO,THREE ROCKS,93608,9800018,"MCL, LRAA",TTHM,0.223 MG/L,0.080 MG/L,7/1/15,9/30/15,9800171,12/5/19,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 23 - FRESNO,CA1000019,FCSA #30/EL PORVENIR,COMMUNITY,185,56,FRESNO,THREE ROCKS,93608,9800018,"MCL, LRAA",TTHM,0.223 MG/L,0.080 MG/L,7/1/15,9/30/15,9800163,11/7/14,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 23 - FRESNO,CA1000019,FCSA #30/EL PORVENIR,COMMUNITY,185,56,FRESNO,THREE ROCKS,93608,9800022,"MCL, LRAA",TTHM,0.233 MG/L,0.080 MG/L,1/1/16,3/31/16,9800163,11/7/14,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 23 - FRESNO,CA1000019,FCSA #30/EL PORVENIR,COMMUNITY,185,56,FRESNO,THREE ROCKS,93608,9800022,"MCL, LRAA",TTHM,0.233 MG/L,0.080 MG/L,1/1/16,3/31/16,9800171,12/5/19,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 23 - FRESNO,CA1000019,FCSA #30/EL PORVENIR,COMMUNITY,185,56,FRESNO,THREE ROCKS,93608,9800024,"MCL, LRAA",TTHM,0.205 MG/L,0.080 MG/L,1/1/17,3/31/17,9800171,12/5/19,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 23 - FRESNO,CA1000019,FCSA #30/EL PORVENIR,COMMUNITY,185,56,FRESNO,THREE ROCKS,93608,9800024,"MCL, LRAA",TTHM,0.205 MG/L,0.080 MG/L,1/1/17,3/31/17,9800163,11/7/14,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 23 - FRESNO,CA1000019,FCSA #30/EL PORVENIR,COMMUNITY,185,56,FRESNO,THREE ROCKS,93608,9800025,"MCL, LRAA",TTHM,0.200 MG/L,0.080 MG/L,10/1/16,12/31/16,9800171,12/5/19,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 23 - FRESNO,CA1000019,FCSA #30/EL PORVENIR,COMMUNITY,185,56,FRESNO,THREE ROCKS,93608,9800025,"MCL, LRAA",TTHM,0.200 MG/L,0.080 MG/L,10/1/16,12/31/16,9800163,11/7/14,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 23 - FRESNO,CA1000019,FCSA #30/EL PORVENIR,COMMUNITY,185,56,FRESNO,THREE ROCKS,93608,9800026,"MCL, LRAA",TOTAL HALOACETIC ACIDS (HAA5),0.0998 MG/L,0.060 MG/L,10/1/16,12/31/16,9800171,12/5/19,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 23 - FRESNO,CA1000019,FCSA #30/EL PORVENIR,COMMUNITY,185,56,FRESNO,THREE ROCKS,93608,9800026,"MCL, LRAA",TOTAL HALOACETIC ACIDS (HAA5),0.0998 MG/L,0.060 MG/L,10/1/16,12/31/16,9800163,11/7/14,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 23 - FRESNO,CA1000019,FCSA #30/EL PORVENIR,COMMUNITY,185,56,FRESNO,THREE ROCKS,93608,9800027,"MCL, LRAA",TOTAL HALOACETIC ACIDS (HAA5),0.095 MG/L,0.060 MG/L,1/1/17,3/31/17,9800171,12/5/19,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 23 - FRESNO,CA1000019,FCSA #30/EL PORVENIR,COMMUNITY,185,56,FRESNO,THREE ROCKS,93608,9800027,"MCL, LRAA",TOTAL HALOACETIC ACIDS (HAA5),0.095 MG/L,0.060 MG/L,1/1/17,3/31/17,9800163,11/7/14,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 23 - FRESNO,CA1000019,FCSA #30/EL PORVENIR,COMMUNITY,185,56,FRESNO,THREE ROCKS,93608,9800028,"MCL, LRAA",TTHM,0.1725 MG/L,0.080 MG/L,4/1/17,6/30/17,9800171,12/5/19,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 23 - FRESNO,CA1000019,FCSA #30/EL PORVENIR,COMMUNITY,185,56,FRESNO,THREE ROCKS,93608,9800028,"MCL, LRAA",TTHM,0.1725 MG/L,0.080 MG/L,4/1/17,6/30/17,9800163,11/7/14,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 23 - FRESNO,CA1000019,FCSA #30/EL PORVENIR,COMMUNITY,185,56,FRESNO,THREE ROCKS,93608,9800029,"MCL, LRAA",TOTAL HALOACETIC ACIDS (HAA5),0.1075 MG/L,0.060 MG/L,4/1/17,6/30/17,9800171,12/5/19,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 23 - FRESNO,CA1000019,FCSA #30/EL PORVENIR,COMMUNITY,185,56,FRESNO,THREE ROCKS,93608,9800029,"MCL, LRAA",TOTAL HALOACETIC ACIDS (HAA5),0.1075 MG/L,0.060 MG/L,4/1/17,6/30/17,9800163,11/7/14,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 23 - FRESNO,CA1000019,FCSA #30/EL PORVENIR,COMMUNITY,185,56,FRESNO,THREE ROCKS,93608,9800030,"MCL, LRAA",TTHM,0.160 MG/L,0.080 MG/L,7/1/17,9/30/17,9800171,12/5/19,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 23 - FRESNO,CA1000019,FCSA #30/EL PORVENIR,COMMUNITY,185,56,FRESNO,THREE ROCKS,93608,9800030,"MCL, LRAA",TTHM,0.160 MG/L,0.080 MG/L,7/1/17,9/30/17,9800163,11/7/14,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 23 - FRESNO,CA1000019,FCSA #30/EL PORVENIR,COMMUNITY,185,56,FRESNO,THREE ROCKS,93608,9800031,"MCL, LRAA",TOTAL HALOACETIC ACIDS (HAA5),0.102 MG/L,0.060 MG/L,7/1/17,9/30/17,9800171,12/5/19,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 23 - FRESNO,CA1000019,FCSA #30/EL PORVENIR,COMMUNITY,185,56,FRESNO,THREE ROCKS,93608,9800031,"MCL, LRAA",TOTAL HALOACETIC ACIDS (HAA5),0.102 MG/L,0.060 MG/L,7/1/17,9/30/17,9800163,11/7/14,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 23 - FRESNO,CA1000019,FCSA #30/EL PORVENIR,COMMUNITY,185,56,FRESNO,THREE ROCKS,93608,9800032,"MCL, LRAA",TTHM,0.160 MG/L,0.080 MG/L,10/1/17,12/31/17,9800171,12/5/19,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 23 - FRESNO,CA1000019,FCSA #30/EL PORVENIR,COMMUNITY,185,56,FRESNO,THREE ROCKS,93608,9800032,"MCL, LRAA",TTHM,0.160 MG/L,0.080 MG/L,10/1/17,12/31/17,9800163,11/7/14,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 23 - FRESNO,CA1000019,FCSA #30/EL PORVENIR,COMMUNITY,185,56,FRESNO,THREE ROCKS,93608,9800033,"MCL, LRAA",TOTAL HALOACETIC ACIDS (HAA5),0.102 MG/L,0.060 MG/L,10/1/17,12/31/17,9800171,12/5/19,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 23 - FRESNO,CA1000019,FCSA #30/EL PORVENIR,COMMUNITY,185,56,FRESNO,THREE ROCKS,93608,9800033,"MCL, LRAA",TOTAL HALOACETIC ACIDS (HAA5),0.102 MG/L,0.060 MG/L,10/1/17,12/31/17,9800163,11/7/14,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 23 - FRESNO,CA1000019,FCSA #30/EL PORVENIR,COMMUNITY,185,56,FRESNO,THREE ROCKS,93608,9800034,"MCL, LRAA",TTHM,0.2333 MG/L,0.080 MG/L,4/1/16,6/30/16,9800171,12/5/19,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 23 - FRESNO,CA1000019,FCSA #30/EL PORVENIR,COMMUNITY,185,56,FRESNO,THREE ROCKS,93608,9800034,"MCL, LRAA",TTHM,0.2333 MG/L,0.080 MG/L,4/1/16,6/30/16,9800163,11/7/14,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 23 - FRESNO,CA1000019,FCSA #30/EL PORVENIR,COMMUNITY,185,56,FRESNO,THREE ROCKS,93608,9800035,"MCL, LRAA",TOTAL HALOACETIC ACIDS (HAA5),0.1247 MG/L,0.060 MG/L,4/1/16,6/30/16,9800163,11/7/14,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 23 - FRESNO,CA1000019,FCSA #30/EL PORVENIR,COMMUNITY,185,56,FRESNO,THREE ROCKS,93608,9800035,"MCL, LRAA",TOTAL HALOACETIC ACIDS (HAA5),0.1247 MG/L,0.060 MG/L,4/1/16,6/30/16,9800171,12/5/19,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 23 - FRESNO,CA1000019,FCSA #30/EL PORVENIR,COMMUNITY,185,56,FRESNO,THREE ROCKS,93608,9800037,"MCL, LRAA",TOTAL HALOACETIC ACIDS (HAA5),0.105 MG/L,0.060 MG/L,1/1/18,3/31/18,9800171,12/5/19,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 23 - FRESNO,CA1000019,FCSA #30/EL PORVENIR,COMMUNITY,185,56,FRESNO,THREE ROCKS,93608,9800037,"MCL, LRAA",TOTAL HALOACETIC ACIDS (HAA5),0.105 MG/L,0.060 MG/L,1/1/18,3/31/18,9800163,11/7/14,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 23 - FRESNO,CA1000019,FCSA #30/EL PORVENIR,COMMUNITY,185,56,FRESNO,THREE ROCKS,93608,9800038,"MCL, LRAA",TTHM,0.120 MG/L,0.080 MG/L,1/1/18,3/31/18,9800171,12/5/19,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 23 - FRESNO,CA1000019,FCSA #30/EL PORVENIR,COMMUNITY,185,56,FRESNO,THREE ROCKS,93608,9800038,"MCL, LRAA",TTHM,0.120 MG/L,0.080 MG/L,1/1/18,3/31/18,9800163,11/7/14,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 23 - FRESNO,CA1000019,FCSA #30/EL PORVENIR,COMMUNITY,185,56,FRESNO,THREE ROCKS,93608,9800039,"MCL, LRAA",TTHM,0.140 MG/L,0.080 MG/L,4/1/18,6/30/18,9800171,12/5/19,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 23 - FRESNO,CA1000019,FCSA #30/EL PORVENIR,COMMUNITY,185,56,FRESNO,THREE ROCKS,93608,9800039,"MCL, LRAA",TTHM,0.140 MG/L,0.080 MG/L,4/1/18,6/30/18,9800163,11/7/14,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 23 - FRESNO,CA1000019,FCSA #30/EL PORVENIR,COMMUNITY,185,56,FRESNO,THREE ROCKS,93608,9800040,"MCL, LRAA",TOTAL HALOACETIC ACIDS (HAA5),0.072 MG/L,0.060 MG/L,4/1/18,6/30/18,9800163,11/7/14,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 23 - FRESNO,CA1000019,FCSA #30/EL PORVENIR,COMMUNITY,185,56,FRESNO,THREE ROCKS,93608,9800040,"MCL, LRAA",TOTAL HALOACETIC ACIDS (HAA5),0.072 MG/L,0.060 MG/L,4/1/18,6/30/18,9800171,12/5/19,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 23 - FRESNO,CA1000019,FCSA #30/EL PORVENIR,COMMUNITY,185,56,FRESNO,THREE ROCKS,93608,9800041,"MCL, LRAA",TTHM,0.163 MG/L,0.080 MG/L,7/1/18,9/30/18,9800171,12/5/19,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 23 - FRESNO,CA1000019,FCSA #30/EL PORVENIR,COMMUNITY,185,56,FRESNO,THREE ROCKS,93608,9800041,"MCL, LRAA",TTHM,0.163 MG/L,0.080 MG/L,7/1/18,9/30/18,9800163,11/7/14,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 23 - FRESNO,CA1000019,FCSA #30/EL PORVENIR,COMMUNITY,185,56,FRESNO,THREE ROCKS,93608,9800042,"MCL, LRAA",TOTAL HALOACETIC ACIDS (HAA5),0.070 MG/L,0.060 MG/L,7/1/18,9/30/18,9800163,11/7/14,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 23 - FRESNO,CA1000019,FCSA #30/EL PORVENIR,COMMUNITY,185,56,FRESNO,THREE ROCKS,93608,9800042,"MCL, LRAA",TOTAL HALOACETIC ACIDS (HAA5),0.070 MG/L,0.060 MG/L,7/1/18,9/30/18,9800171,12/5/19,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 23 - FRESNO,CA1000019,FCSA #30/EL PORVENIR,COMMUNITY,185,56,FRESNO,THREE ROCKS,93608,9800043,"MCL, LRAA",TOTAL HALOACETIC ACIDS (HAA5),0.064 MG/L,0.060 MG/L,10/1/18,12/31/18,9800171,12/5/19,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 23 - FRESNO,CA1000019,FCSA #30/EL PORVENIR,COMMUNITY,185,56,FRESNO,THREE ROCKS,93608,9800044,"MCL, LRAA",TTHM,0.165 MG/L,0.080 MG/L,10/1/18,12/31/18,9800171,12/5/19,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 23 - FRESNO,CA1000023,FCSA #14/BELMONT MANOR,COMMUNITY,115,41,FRESNO,FRESNO,93727,712003,STATE PRIMARY MCL VIOL - NOT CR6,"1,2,3-TRICHLOROPROPANE",0.015 UG/L,0.005 UG/L,1/1/18,3/31/18,1323003,3/22/18,CA STATE ACTION ISSUED
DISTRICT 23 - FRESNO,CA1000042,FCWWD #40/SHAVER SPRINGS,COMMUNITY,193,69,FRESNO,PINERIDGE,93602,1223028,"MCL,  AVERAGE",ARSENIC,.01380000 MG/L,0.010 MG/L,1/1/12,3/31/12,1023361,4/27/10,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 23 - FRESNO,CA1000042,FCWWD #40/SHAVER SPRINGS,COMMUNITY,193,69,FRESNO,PINERIDGE,93602,1223029,"MCL,  AVERAGE",ARSENIC,.01380000 MG/L,0.010 MG/L,4/1/12,6/30/12,1023361,4/27/10,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 23 - FRESNO,CA1000042,FCWWD #40/SHAVER SPRINGS,COMMUNITY,193,69,FRESNO,PINERIDGE,93602,1223030,"MCL,  AVERAGE",ARSENIC,.01380000 MG/L,0.010 MG/L,7/1/12,9/30/12,1023361,4/27/10,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 23 - FRESNO,CA1000042,FCWWD #40/SHAVER SPRINGS,COMMUNITY,193,69,FRESNO,PINERIDGE,93602,1223031,"MCL,  AVERAGE",ARSENIC,11.6 UG/L,10 UG/L,1/1/13,3/31/13,1023361,4/27/10,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 23 - FRESNO,CA1000042,FCWWD #40/SHAVER SPRINGS,COMMUNITY,193,69,FRESNO,PINERIDGE,93602,1223032,"MCL,  AVERAGE",GROSS ALPHA PARTICLE ACTIVITY,17.1 PCI/L,15 PCI/L,4/1/13,6/30/13,1023365,11/28/16,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 23 - FRESNO,CA1000042,FCWWD #40/SHAVER SPRINGS,COMMUNITY,193,69,FRESNO,PINERIDGE,93602,1223032,"MCL,  AVERAGE",GROSS ALPHA PARTICLE ACTIVITY,17.1 PCI/L,15 PCI/L,4/1/13,6/30/13,1023366,12/4/18,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 23 - FRESNO,CA1000042,FCWWD #40/SHAVER SPRINGS,COMMUNITY,193,69,FRESNO,PINERIDGE,93602,1223032,"MCL,  AVERAGE",GROSS ALPHA PARTICLE ACTIVITY,17.1 PCI/L,15 PCI/L,4/1/13,6/30/13,1023362,12/31/13,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 23 - FRESNO,CA1000042,FCWWD #40/SHAVER SPRINGS,COMMUNITY,193,69,FRESNO,PINERIDGE,93602,1223033,"MCL,  AVERAGE",COMBINED URANIUM,24.8 PCI/L,20 PCI/L,10/1/15,12/31/15,923360,6/16/09,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 23 - FRESNO,CA1000042,FCWWD #40/SHAVER SPRINGS,COMMUNITY,193,69,FRESNO,PINERIDGE,93602,1223033,"MCL,  AVERAGE",COMBINED URANIUM,24.8 PCI/L,20 PCI/L,10/1/15,12/31/15,1023366,12/4/18,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 23 - FRESNO,CA1000042,FCWWD #40/SHAVER SPRINGS,COMMUNITY,193,69,FRESNO,PINERIDGE,93602,1223034,"MCL,  AVERAGE",COMBINED URANIUM,25 PCI/L,20 PCI/L,1/1/16,3/31/16,1023366,12/4/18,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 23 - FRESNO,CA1000042,FCWWD #40/SHAVER SPRINGS,COMMUNITY,193,69,FRESNO,PINERIDGE,93602,1223034,"MCL,  AVERAGE",COMBINED URANIUM,25 PCI/L,20 PCI/L,1/1/16,3/31/16,923360,6/16/09,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 23 - FRESNO,CA1000042,FCWWD #40/SHAVER SPRINGS,COMMUNITY,193,69,FRESNO,PINERIDGE,93602,1223035,"MCL,  AVERAGE",COMBINED URANIUM,28 PCI/L,20 PCI/L,4/1/16,6/30/16,923360,6/16/09,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 23 - FRESNO,CA1000042,FCWWD #40/SHAVER SPRINGS,COMMUNITY,193,69,FRESNO,PINERIDGE,93602,1223035,"MCL,  AVERAGE",COMBINED URANIUM,28 PCI/L,20 PCI/L,4/1/16,6/30/16,1023366,12/4/18,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 23 - FRESNO,CA1000042,FCWWD #40/SHAVER SPRINGS,COMMUNITY,193,69,FRESNO,PINERIDGE,93602,1223036,"MCL,  AVERAGE",COMBINED URANIUM,30.3 PCI/L,20 PCI/L,7/1/16,9/30/16,923360,6/16/09,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 23 - FRESNO,CA1000042,FCWWD #40/SHAVER SPRINGS,COMMUNITY,193,69,FRESNO,PINERIDGE,93602,1223036,"MCL,  AVERAGE",COMBINED URANIUM,30.3 PCI/L,20 PCI/L,7/1/16,9/30/16,1023366,12/4/18,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 23 - FRESNO,CA1000042,FCWWD #40/SHAVER SPRINGS,COMMUNITY,193,69,FRESNO,PINERIDGE,93602,1223037,"MCL,  AVERAGE",COMBINED URANIUM,28.5 PCI/L,20 PCI/L,10/1/16,12/31/16,1023366,12/4/18,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 23 - FRESNO,CA1000042,FCWWD #40/SHAVER SPRINGS,COMMUNITY,193,69,FRESNO,PINERIDGE,93602,1223037,"MCL,  AVERAGE",COMBINED URANIUM,28.5 PCI/L,20 PCI/L,10/1/16,12/31/16,923360,6/16/09,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 23 - FRESNO,CA1000042,FCWWD #40/SHAVER SPRINGS,COMMUNITY,193,69,FRESNO,PINERIDGE,93602,1223038,"MCL,  AVERAGE",COMBINED URANIUM,30.8 PCI/L,20 PCI/L,1/1/17,3/31/17,1023366,12/4/18,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 23 - FRESNO,CA1000042,FCWWD #40/SHAVER SPRINGS,COMMUNITY,193,69,FRESNO,PINERIDGE,93602,1223038,"MCL,  AVERAGE",COMBINED URANIUM,30.8 PCI/L,20 PCI/L,1/1/17,3/31/17,923360,6/16/09,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 23 - FRESNO,CA1000042,FCWWD #40/SHAVER SPRINGS,COMMUNITY,193,69,FRESNO,PINERIDGE,93602,1223039,"MCL,  AVERAGE",COMBINED URANIUM,35.5 PCI/L,20 PCI/L,4/1/17,6/30/17,1023366,12/4/18,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 23 - FRESNO,CA1000042,FCWWD #40/SHAVER SPRINGS,COMMUNITY,193,69,FRESNO,PINERIDGE,93602,1223039,"MCL,  AVERAGE",COMBINED URANIUM,35.5 PCI/L,20 PCI/L,4/1/17,6/30/17,923360,6/16/09,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 23 - FRESNO,CA1000042,FCWWD #40/SHAVER SPRINGS,COMMUNITY,193,69,FRESNO,PINERIDGE,93602,1223040,"MCL,  AVERAGE",COMBINED URANIUM,41.9 PCI/L,20 PCI/L,7/1/17,9/30/17,1023366,12/4/18,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 23 - FRESNO,CA1000042,FCWWD #40/SHAVER SPRINGS,COMMUNITY,193,69,FRESNO,PINERIDGE,93602,1223040,"MCL,  AVERAGE",COMBINED URANIUM,41.9 PCI/L,20 PCI/L,7/1/17,9/30/17,923360,6/16/09,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 23 - FRESNO,CA1000042,FCWWD #40/SHAVER SPRINGS,COMMUNITY,193,69,FRESNO,PINERIDGE,93602,1223041,"MCL,  AVERAGE",COMBINED URANIUM,42.1 PCI/L,20 PCI/L,10/1/17,12/31/17,923360,6/16/09,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 23 - FRESNO,CA1000042,FCWWD #40/SHAVER SPRINGS,COMMUNITY,193,69,FRESNO,PINERIDGE,93602,1223041,"MCL,  AVERAGE",COMBINED URANIUM,42.1 PCI/L,20 PCI/L,10/1/17,12/31/17,1023366,12/4/18,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 23 - FRESNO,CA1000042,FCWWD #40/SHAVER SPRINGS,COMMUNITY,193,69,FRESNO,PINERIDGE,93602,1223042,"MCL,  AVERAGE",GROSS ALPHA PARTICLE ACTIVITY,59.3 PCI/L,15 PCI/L,1/1/14,3/31/14,1023365,11/28/16,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 23 - FRESNO,CA1000042,FCWWD #40/SHAVER SPRINGS,COMMUNITY,193,69,FRESNO,PINERIDGE,93602,1223042,"MCL,  AVERAGE",GROSS ALPHA PARTICLE ACTIVITY,59.3 PCI/L,15 PCI/L,1/1/14,3/31/14,1023366,12/4/18,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 23 - FRESNO,CA1000042,FCWWD #40/SHAVER SPRINGS,COMMUNITY,193,69,FRESNO,PINERIDGE,93602,1223043,"MCL,  AVERAGE",GROSS ALPHA PARTICLE ACTIVITY,65.9 PCI/L,15 PCI/L,4/1/14,6/30/14,1023366,12/4/18,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 23 - FRESNO,CA1000042,FCWWD #40/SHAVER SPRINGS,COMMUNITY,193,69,FRESNO,PINERIDGE,93602,1223043,"MCL,  AVERAGE",GROSS ALPHA PARTICLE ACTIVITY,65.9 PCI/L,15 PCI/L,4/1/14,6/30/14,1023365,11/28/16,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 23 - FRESNO,CA1000042,FCWWD #40/SHAVER SPRINGS,COMMUNITY,193,69,FRESNO,PINERIDGE,93602,1223044,"MCL,  AVERAGE",GROSS ALPHA PARTICLE ACTIVITY,25.7 PCI/L,15 PCI/L,7/1/14,9/30/14,1023366,12/4/18,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 23 - FRESNO,CA1000042,FCWWD #40/SHAVER SPRINGS,COMMUNITY,193,69,FRESNO,PINERIDGE,93602,1223044,"MCL,  AVERAGE",GROSS ALPHA PARTICLE ACTIVITY,25.7 PCI/L,15 PCI/L,7/1/14,9/30/14,1023365,11/28/16,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 23 - FRESNO,CA1000042,FCWWD #40/SHAVER SPRINGS,COMMUNITY,193,69,FRESNO,PINERIDGE,93602,1223045,"MCL,  AVERAGE",GROSS ALPHA PARTICLE ACTIVITY,25.4 PCI/L,15 PCI/L,10/1/14,12/31/14,1023365,11/28/16,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 23 - FRESNO,CA1000042,FCWWD #40/SHAVER SPRINGS,COMMUNITY,193,69,FRESNO,PINERIDGE,93602,1223045,"MCL,  AVERAGE",GROSS ALPHA PARTICLE ACTIVITY,25.4 PCI/L,15 PCI/L,10/1/14,12/31/14,1023366,12/4/18,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 23 - FRESNO,CA1000042,FCWWD #40/SHAVER SPRINGS,COMMUNITY,193,69,FRESNO,PINERIDGE,93602,1223046,"MCL,  AVERAGE",GROSS ALPHA PARTICLE ACTIVITY,21.4 PCI/L,15 PCI/L,1/1/15,3/31/15,1023365,11/28/16,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 23 - FRESNO,CA1000042,FCWWD #40/SHAVER SPRINGS,COMMUNITY,193,69,FRESNO,PINERIDGE,93602,1223046,"MCL,  AVERAGE",GROSS ALPHA PARTICLE ACTIVITY,21.4 PCI/L,15 PCI/L,1/1/15,3/31/15,1023366,12/4/18,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 23 - FRESNO,CA1000042,FCWWD #40/SHAVER SPRINGS,COMMUNITY,193,69,FRESNO,PINERIDGE,93602,1223047,"MCL,  AVERAGE",GROSS ALPHA PARTICLE ACTIVITY,22.7 PCI/L,15 PCI/L,4/1/15,6/30/15,1023366,12/4/18,FORMAL ENFORCEMENT ACTION ISSUED
